company_name,position_title,skills,min_experience,education,seniority,description_length,skills_count
Google,Sales Specialist,"[""account management"", ""git"", ""excel"", ""communication"", ""teamwork"", ""go"", ""creativity"", ""problem solving"", ""leadership"", ""rust""]",8.0,bachelor,manager,2727,10
Apple,Apple Solutions Consultant,"[""excel"", ""communication""]",1.0,,,828,2
Netflix,Licensing Coordinator - Consumer Products,"[""excel"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""creativity"", ""leadership""]",8.0,,manager,3205,7
Robert Half,Web Designer,"[""go"", ""creativity"", ""javascript"", ""java""]",8.0,,manager,2489,4
TrackFive,Web Developer,"[""mysql"", ""communication"", ""javascript"", ""java"", ""sql"", ""time management"", ""rest"", ""go"", ""api"", ""creativity"", ""problem solving""]",8.0,,manager,3167,11
DesignUps,Frontend Web Developer,"[""rest""]",0.0,,,892,1
"Equisolve, Inc.",Remote Website Designer,"[""excel"", ""communication"", ""time management"", ""teamwork"", ""medical"", ""leadership""]",2.0,,,3471,6
Zander Insurance Agency,Web Designer,"[""git"", ""communication"", ""adaptability"", ""creativity"", ""go""]",2.0,,,2896,5
Tuff,Web Designer,"[""seo"", ""git"", ""communication"", ""sem"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""creativity"", ""leadership""]",5.0,,senior,5143,10
General Dynamics Information Technology,SR. Web Designer,"[""aws"", ""javascript"", ""java"", ""go"", ""creativity"", ""leadership""]",3.0,,mid,4023,6
Sony Music Entertainment,Web Developer,"[""mysql"", ""critical thinking"", ""git"", ""communication"", ""javascript"", ""java"", ""sql"", ""teamwork"", ""go"", ""api"", ""creativity"", ""medical"", ""leadership""]",8.0,,manager,4181,13
Snapshot Interactive,Web Developer,"[""mysql"", ""critical thinking"", ""git"", ""communication"", ""sql"", ""teamwork"", ""rest"", ""time management"", ""go"", ""api"", ""creativity""]",8.0,bachelor,manager,3842,11
Deloitte,Senior UI Designer,"[""git"", ""communication"", ""aws"", ""time management"", ""teamwork"", ""adaptability"", ""creativity"", ""problem solving"", ""leadership""]",1.0,,junior,4484,9
Themesoft Inc,Wordpress Web Developer,"[""mysql"", ""critical thinking"", ""git"", ""communication"", ""java"", ""sql"", ""go""]",2.0,bachelor,,647,7
Western Governors University,UI Web Designer,"[""communication"", ""teamwork"", ""creativity"", ""go"", ""leadership""]",5.0,,senior,3733,5
Sedgwick,Senior Web Designer (REMOTE),"[""critical thinking"", ""excel"", ""leadership"", ""communication"", ""time management"", ""attention to detail"", ""creativity"", ""medical"", ""problem solving""]",5.0,,senior,4027,9
Ohio ENT & Allergy Physicians,Chief Executive Officer,"[""communication"", ""time management"", ""teamwork"", ""attention to detail"", ""go"", ""medical"", ""problem solving"", ""leadership"", ""clinical""]",5.0,master,senior,3202,9
Confidential Jobs,"Executive Vice President & Chief Executive Officer (CEO), Medical...","[""excel"", ""medical"", ""go""]",12.0,,executive,569,3
RiverVista Health and Wellness,CEO,"[""communication"", ""time management"", ""go"", ""medical"", ""budgeting"", ""leadership""]",8.0,master,manager,2239,6
Salt Creek Capital,CEO,"[""excel"", ""api""]",5.0,,senior,1328,2
Ascend Innovations,"CEO, Positivly","[""excel"", ""communication"", ""clinical"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""medical"", ""problem solving"", ""leadership"", ""rust""]",5.0,bachelor,senior,5403,11
ExecHQ,Chief Executive Officer - CEO Consultant,"[""sem"", ""time management"", ""medical"", ""leadership"", ""rust""]",5.0,master,senior,2900,5
