job_id,cv_id,score,company,position,cv_category,cv_industry
0,1646,21.33,Google,Sales Specialist,APPAREL,OTHER
0,626,30.5,Google,Sales Specialist,BUSINESS-DEVELOPMENT,SALES
0,858,33.21,Google,Sales Specialist,FITNESS,OTHER
0,396,30.24,Google,Sales Specialist,TEACHER,OTHER
0,370,23.57,Google,Sales Specialist,TEACHER,OTHER
0,1668,30.3,Google,Sales Specialist,APPAREL,OTHER
0,2037,25.07,Google,Sales Specialist,CONSTRUCTION,CONSTRUCTION
0,1036,23.27,Google,Sales Specialist,SALES,SALES
0,2134,42.3,Google,Sales Specialist,PUBLIC-RELATIONS,OTHER
0,2034,38.33,Google,Sales Specialist,CONSTRUCTION,CONSTRUCTION
0,2410,33.45,Google,Sales Specialist,AVIATION,OTHER
0,657,28.78,Google,Sales Specialist,BUSINESS-DEVELOPMENT,SALES
0,273,34.89,Google,Sales Specialist,INFORMATION-TECHNOLOGY,IT
0,823,33.6,Google,Sales Specialist,FITNESS,OTHER
0,2247,26.53,Google,Sales Specialist,BANKING,FINANCE
0,2027,25.0,Google,Sales Specialist,CONSTRUCTION,CONSTRUCTION
0,125,28.66,Google,Sales Specialist,DESIGNER,OTHER
0,1617,33.34,Google,Sales Specialist,APPAREL,OTHER
0,854,31.34,Google,Sales Specialist,FITNESS,OTHER
0,1756,26.19,Google,Sales Specialist,ENGINEERING,MANUFACTURING
0,1112,31.43,Google,Sales Specialist,CONSULTANT,OTHER
0,832,33.15,Google,Sales Specialist,FITNESS,OTHER
0,2244,24.13,Google,Sales Specialist,BANKING,FINANCE
0,1223,25.94,Google,Sales Specialist,CONSULTANT,OTHER
0,502,31.24,Google,Sales Specialist,ADVOCATE,OTHER
0,1586,30.01,Google,Sales Specialist,FINANCE,FINANCE
0,826,32.32,Google,Sales Specialist,FITNESS,OTHER
0,574,37.97,Google,Sales Specialist,BUSINESS-DEVELOPMENT,SALES
0,843,28.52,Google,Sales Specialist,FITNESS,OTHER
0,2425,30.66,Google,Sales Specialist,AVIATION,OTHER
0,2032,26.53,Google,Sales Specialist,CONSTRUCTION,CONSTRUCTION
0,145,33.14,Google,Sales Specialist,DESIGNER,OTHER
0,1395,34.84,Google,Sales Specialist,CHEF,OTHER
0,2325,29.94,Google,Sales Specialist,ARTS,OTHER
0,2371,33.2,Google,Sales Specialist,AVIATION,OTHER
0,1211,32.73,Google,Sales Specialist,CONSULTANT,OTHER
0,571,25.57,Google,Sales Specialist,BUSINESS-DEVELOPMENT,SALES
0,676,34.78,Google,Sales Specialist,BUSINESS-DEVELOPMENT,SALES
0,244,25.46,Google,Sales Specialist,INFORMATION-TECHNOLOGY,IT
0,1995,23.9,Google,Sales Specialist,CONSTRUCTION,CONSTRUCTION
0,1132,39.86,Google,Sales Specialist,CONSULTANT,OTHER
0,472,28.25,Google,Sales Specialist,ADVOCATE,OTHER
0,2275,25.09,Google,Sales Specialist,ARTS,OTHER
0,1263,39.26,Google,Sales Specialist,DIGITAL-MEDIA,OTHER
0,2288,38.94,Google,Sales Specialist,ARTS,OTHER
0,2436,28.72,Google,Sales Specialist,AVIATION,OTHER
0,1566,25.11,Google,Sales Specialist,FINANCE,FINANCE
0,2146,34.63,Google,Sales Specialist,PUBLIC-RELATIONS,OTHER
0,764,32.0,Google,Sales Specialist,HEALTHCARE,HEALTHCARE
0,551,27.38,Google,Sales Specialist,ADVOCATE,OTHER
1,1113,42.47,Apple,Apple Solutions Consultant,CONSULTANT,OTHER
1,1482,46.11,Apple,Apple Solutions Consultant,FINANCE,FINANCE
1,1306,34.51,Apple,Apple Solutions Consultant,DIGITAL-MEDIA,OTHER
1,1884,37.54,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,1362,37.44,Apple,Apple Solutions Consultant,CHEF,OTHER
1,1937,18.72,Apple,Apple Solutions Consultant,CONSTRUCTION,CONSTRUCTION
1,1190,35.64,Apple,Apple Solutions Consultant,CONSULTANT,OTHER
1,2438,38.65,Apple,Apple Solutions Consultant,AVIATION,OTHER
1,78,34.44,Apple,Apple Solutions Consultant,HR,HR
1,2387,45.18,Apple,Apple Solutions Consultant,AVIATION,OTHER
1,1483,37.69,Apple,Apple Solutions Consultant,FINANCE,FINANCE
1,417,38.24,Apple,Apple Solutions Consultant,TEACHER,OTHER
1,1237,18.29,Apple,Apple Solutions Consultant,DIGITAL-MEDIA,OTHER
1,1363,40.06,Apple,Apple Solutions Consultant,CHEF,OTHER
1,1842,36.67,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,1721,38.95,Apple,Apple Solutions Consultant,ENGINEERING,MANUFACTURING
1,528,40.6,Apple,Apple Solutions Consultant,ADVOCATE,OTHER
1,689,21.96,Apple,Apple Solutions Consultant,HEALTHCARE,HEALTHCARE
1,2379,38.71,Apple,Apple Solutions Consultant,AVIATION,OTHER
1,635,38.4,Apple,Apple Solutions Consultant,BUSINESS-DEVELOPMENT,SALES
1,102,41.0,Apple,Apple Solutions Consultant,HR,HR
1,1730,38.39,Apple,Apple Solutions Consultant,ENGINEERING,MANUFACTURING
1,1850,39.3,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,244,18.65,Apple,Apple Solutions Consultant,INFORMATION-TECHNOLOGY,IT
1,1750,14.41,Apple,Apple Solutions Consultant,ENGINEERING,MANUFACTURING
1,2390,38.79,Apple,Apple Solutions Consultant,AVIATION,OTHER
1,2036,44.17,Apple,Apple Solutions Consultant,CONSTRUCTION,CONSTRUCTION
1,1831,34.05,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,1808,29.18,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,2192,43.09,Apple,Apple Solutions Consultant,BANKING,FINANCE
1,568,41.39,Apple,Apple Solutions Consultant,BUSINESS-DEVELOPMENT,SALES
1,1017,38.94,Apple,Apple Solutions Consultant,SALES,SALES
1,1196,19.94,Apple,Apple Solutions Consultant,CONSULTANT,OTHER
1,74,38.06,Apple,Apple Solutions Consultant,HR,HR
1,1073,39.1,Apple,Apple Solutions Consultant,SALES,SALES
1,738,17.83,Apple,Apple Solutions Consultant,HEALTHCARE,HEALTHCARE
1,923,20.08,Apple,Apple Solutions Consultant,AGRICULTURE,OTHER
1,771,19.68,Apple,Apple Solutions Consultant,HEALTHCARE,HEALTHCARE
1,714,38.49,Apple,Apple Solutions Consultant,HEALTHCARE,HEALTHCARE
1,463,37.47,Apple,Apple Solutions Consultant,ADVOCATE,OTHER
1,2335,19.01,Apple,Apple Solutions Consultant,ARTS,OTHER
